ISO|Time|Value
BOL|01/31/2021|0
BOL|02/07/2021|0
BOL|02/14/2021|
BOL|02/21/2021|
BOL|02/28/2021|1
BOL|03/07/2021|1
BOL|03/14/2021|1
BOL|03/21/2021|2
BOL|03/28/2021|3
BOL|04/04/2021|4
BOL|04/11/2021|5
BOL|04/18/2021|6
BOL|04/25/2021|7
BOL|05/02/2021|9
BOL|05/09/2021|9
BOL|05/16/2021|12
BOL|05/23/2021|13
BRA|01/10/2021|0
BRA|01/17/2021|0
BRA|01/24/2021|1
BRA|01/31/2021|2
BRA|02/07/2021|2
BRA|02/14/2021|3
BRA|02/21/2021|4
BRA|02/28/2021|5
BRA|03/07/2021|5
BRA|03/14/2021|6
BRA|03/21/2021|8
BRA|03/28/2021|10
BRA|04/04/2021|12
BRA|04/11/2021|15
BRA|04/18/2021|18
BRA|04/25/2021|20
BRA|05/02/2021|22
BRA|05/09/2021|25
BRA|05/16/2021|26
BRA|05/23/2021|30
BRB|02/14/2021|6
BRB|02/21/2021|13
BRB|02/28/2021|17
BRB|03/07/2021|18
BRB|03/14/2021|21
BRB|03/21/2021|22
BRB|03/28/2021|22
BRB|04/04/2021|23
BRB|04/11/2021|24
BRB|04/18/2021|25
BRB|04/25/2021|32
BRB|05/02/2021|37
BRB|05/09/2021|41
BRB|05/16/2021|45
BRB|05/23/2021|46
BRN|03/28/2021|0
BRN|04/04/2021|1
BRN|04/11/2021|
BRN|04/18/2021|2
BRN|04/25/2021|
BRN|05/02/2021|4
BRN|05/09/2021|
BRN|05/16/2021|8
BTN|03/21/2021|11
BTN|03/28/2021|60
BTN|04/04/2021|61
BTN|04/11/2021|62
BTN|04/18/2021|62
BTN|04/25/2021|62
BTN|05/02/2021|62
BTN|05/09/2021|62
BTN|05/16/2021|63
BTN|05/23/2021|63
BWA|03/21/2021|0
BWA|03/28/2021|1
BWA|04/04/2021|1
BWA|04/11/2021|2
BWA|04/18/2021|2
BWA|04/25/2021|2
BWA|05/02/2021|2
BWA|05/09/2021|3
CAF|05/09/2021|0
CAN|01/03/2021|1
CAN|01/10/2021|1
CAN|01/17/2021|2
CAN|01/24/2021|3
CAN|01/31/2021|3
CAN|02/07/2021|3
CAN|02/14/2021|4
CAN|02/21/2021|5
CAN|02/28/2021|6
CAN|03/07/2021|8
CAN|03/14/2021|10
CAN|03/21/2021|13
CAN|03/28/2021|17
CAN|04/04/2021|21
CAN|04/11/2021|26
CAN|04/18/2021|31
CAN|04/25/2021|36
CAN|05/02/2021|41
CAN|05/09/2021|48
CAN|05/16/2021|55
CAN|05/23/2021|58
CHE|01/24/2021|4
CHE|01/31/2021|5
CHE|02/07/2021|6
CHE|02/14/2021|8
CHE|02/21/2021|9
CHE|02/28/2021|11
CHE|03/07/2021|13
CHE|03/14/2021|14
CHE|03/21/2021|16
CHE|03/28/2021|18
CHE|04/04/2021|21
CHE|04/11/2021|24
CHE|04/18/2021|28
CHE|04/25/2021|32
CHE|05/02/2021|37
CHE|05/09/2021|43
CHE|05/16/2021|49
CHE|05/23/2021|49
CHL|01/03/2021|0
CHL|01/10/2021|0
CHL|01/17/2021|0
CHL|01/24/2021|0
CHL|01/31/2021|3
CHL|02/07/2021|10
CHL|02/14/2021|15
CHL|02/21/2021|18
CHL|02/28/2021|24
CHL|03/07/2021|35
CHL|03/14/2021|44
CHL|03/21/2021|51
CHL|03/28/2021|56
CHL|04/04/2021|63
CHL|04/11/2021|69
CHL|04/18/2021|74
CHL|04/25/2021|78
CHL|05/02/2021|82
CHL|05/09/2021|87
CHL|05/16/2021|91
CHL|05/23/2021|93
CHN|01/03/2021|1
CHN|01/10/2021|1
CHN|01/17/2021|1
CHN|01/24/2021|2
CHN|01/31/2021|2
CHN|02/07/2021|3
CHN|02/14/2021|
CHN|02/21/2021|
CHN|02/28/2021|4
CHN|03/07/2021|
CHN|03/14/2021|5
CHN|03/21/2021|7
CHN|03/28/2021|10
CHN|04/04/2021|11
CHN|04/11/2021|13
CHN|04/18/2021|15
CHN|04/25/2021|19
CHN|05/02/2021|22
CHN|05/09/2021|27
CHN|05/16/2021|35
CHN|05/23/2021|39
CIV|02/28/2021|0
CIV|03/07/2021|0
CIV|03/14/2021|0
CIV|03/21/2021|0
CIV|03/28/2021|0
CIV|04/04/2021|0
CIV|04/11/2021|0
CIV|04/18/2021|0
CIV|04/25/2021|1
CIV|05/02/2021|1
CIV|05/09/2021|1
CIV|05/16/2021|2
CIV|05/23/2021|2
CMR|04/11/2021|0
CMR|04/18/2021|
CMR|04/25/2021|0
CMR|05/02/2021|
CMR|05/09/2021|0
CMR|05/16/2021|0
CMR|05/23/2021|0
COD|04/18/2021|0
COD|04/25/2021|0
COD|05/02/2021|
COD|05/09/2021|0
COD|05/16/2021|0
COD|05/23/2021|0
COG|04/11/2021|0
COG|04/18/2021|
COG|04/25/2021|
COG|05/02/2021|
COG|05/09/2021|1
COG|05/16/2021|1
COL|02/14/2021|0
COL|02/21/2021|0
COL|02/28/2021|1
COL|03/07/2021|2
COL|03/14/2021|2
COL|03/21/2021|3
COL|03/28/2021|5
COL|04/04/2021|6
COL|04/11/2021|7
COL|04/18/2021|9
COL|04/25/2021|10
COL|05/02/2021|12
COL|05/09/2021|14
COL|05/16/2021|16
COL|05/23/2021|17
COM|04/18/2021|2
COM|04/25/2021|
COM|05/02/2021|
COM|05/09/2021|5
COM|05/16/2021|7
COM|05/23/2021|9
CPV|03/14/2021|0
CPV|03/21/2021|0
CPV|03/28/2021|
CPV|04/04/2021|
CPV|04/11/2021|
CPV|04/18/2021|
CPV|04/25/2021|
CPV|05/02/2021|
CPV|05/09/2021|4
CPV|05/16/2021|4
CPV|05/23/2021|4
CRI|01/03/2021|0
CRI|01/10/2021|0
CRI|01/17/2021|1
CRI|01/24/2021|1
CRI|01/31/2021|1
CRI|02/07/2021|1
CRI|02/14/2021|2
CRI|02/21/2021|2
CRI|02/28/2021|4
CRI|03/07/2021|5
CRI|03/14/2021|5
CRI|03/21/2021|7
CRI|03/28/2021|8
CRI|04/04/2021|10
CRI|04/11/2021|12
CRI|04/18/2021|14
CRI|04/25/2021|16
CRI|05/02/2021|19
CRI|05/09/2021|21
CRI|05/16/2021|25
CRI|05/23/2021|29
CUB|05/09/2021|1
CUB|05/16/2021|7
CUB|05/23/2021|7
CUW|03/28/2021|14
CUW|04/04/2021|25
CUW|04/11/2021|39
CUW|04/18/2021|51
CUW|04/25/2021|59
CUW|05/02/2021|66
CUW|05/09/2021|73
CUW|05/16/2021|87
CUW|05/23/2021|90
CYM|01/03/2021|
CYM|01/10/2021|
CYM|01/17/2021|
CYM|01/24/2021|
CYM|01/31/2021|17
CYM|02/07/2021|24
CYM|02/14/2021|28
CYM|02/21/2021|32
CYM|02/28/2021|40
CYM|03/07/2021|49
CYM|03/14/2021|60
CYM|03/21/2021|67
CYM|03/28/2021|77
CYM|04/04/2021|86
CYM|04/11/2021|93
CYM|04/18/2021|97
CYM|04/25/2021|100
CYM|05/02/2021|106
CYM|05/09/2021|112
CYM|05/16/2021|115
CYM|05/23/2021|121
CYP|01/03/2021|0
CYP|01/10/2021|1
CYP|01/17/2021|2
CYP|01/24/2021|3
CYP|01/31/2021|4
CYP|02/07/2021|5
CYP|02/14/2021|6
CYP|02/21/2021|9
CYP|02/28/2021|
CYP|03/07/2021|11
CYP|03/14/2021|15
CYP|03/21/2021|
CYP|03/28/2021|18
CYP|04/04/2021|21
CYP|04/11/2021|23
CYP|04/18/2021|27
CYP|04/25/2021|33
CYP|05/02/2021|38
CYP|05/09/2021|48
CYP|05/16/2021|58
CYP|05/23/2021|64
CZE|01/03/2021|0
CZE|01/10/2021|1
CZE|01/17/2021|2
CZE|01/24/2021|3
CZE|01/31/2021|3
CZE|02/07/2021|4
CZE|02/14/2021|5
CZE|02/21/2021|6
CZE|02/28/2021|8
CZE|03/07/2021|10
CZE|03/14/2021|13
CZE|03/21/2021|15
CZE|03/28/2021|17
CZE|04/04/2021|20
CZE|04/11/2021|23
CZE|04/18/2021|26
CZE|04/25/2021|30
CZE|05/02/2021|34
CZE|05/09/2021|39
CZE|05/16/2021|43
CZE|05/23/2021|46
DEU|01/03/2021|1
DEU|01/10/2021|1
DEU|01/17/2021|2
DEU|01/24/2021|3
DEU|01/31/2021|4
DEU|02/07/2021|5
DEU|02/14/2021|6
DEU|02/21/2021|7
DEU|02/28/2021|9
DEU|03/07/2021|11
DEU|03/14/2021|13
DEU|03/21/2021|16
DEU|03/28/2021|18
DEU|04/04/2021|22
DEU|04/11/2021|26
DEU|04/18/2021|30
DEU|04/25/2021|36
DEU|05/02/2021|42
DEU|05/09/2021|48
DEU|05/16/2021|54
DEU|05/23/2021|57
DJI|04/11/2021|1
DJI|04/18/2021|
DJI|04/25/2021|1
DJI|05/02/2021|
DJI|05/09/2021|
DJI|05/16/2021|
DJI|05/23/2021|2
DMA|02/07/2021|0
DMA|02/14/2021|
DMA|02/21/2021|8
DMA|02/28/2021|16
DMA|03/07/2021|19
DMA|03/14/2021|
DMA|03/21/2021|22
DMA|03/28/2021|25
DMA|04/04/2021|
DMA|04/11/2021|26
DMA|04/18/2021|32
DMA|04/25/2021|39
DMA|05/02/2021|44
DMA|05/09/2021|46
DMA|05/16/2021|48
DNK|01/03/2021|2
DNK|01/10/2021|3
DNK|01/17/2021|3
DNK|01/24/2021|4
DNK|01/31/2021|6
DNK|02/07/2021|7
DNK|02/14/2021|8
DNK|02/21/2021|10
DNK|02/28/2021|12
DNK|03/07/2021|14
DNK|03/14/2021|16
DNK|03/21/2021|18
DNK|03/28/2021|20
DNK|04/04/2021|23
DNK|04/11/2021|27
DNK|04/18/2021|31
DNK|04/25/2021|35
DNK|05/02/2021|40
DNK|05/09/2021|46
DNK|05/16/2021|52
DNK|05/23/2021|55
DOM|02/14/2021|0
DOM|02/21/2021|0
DOM|02/28/2021|3
DOM|03/07/2021|6
DOM|03/14/2021|6
DOM|03/21/2021|7
DOM|03/28/2021|8
DOM|04/04/2021|
DOM|04/11/2021|14
DOM|04/18/2021|
DOM|04/25/2021|18
DOM|05/02/2021|22
DOM|05/09/2021|29
